Country,Year,Life expectancy at birth (years),GDP
Chile,2000,76.87,78249883996
Chile,2001,76.773,71517267768
Chile,2002,77.445,70295232513
Chile,2003,77.387,76507853876
Chile,2004,77.616,99079365628
Chile,2005,78.016,1.22E+11
Chile,2006,78.261,1.54E+11
Chile,2007,77.826,1.73E+11
Chile,2008,78.484,1.80E+11
Chile,2009,78.741,1.71E+11
Chile,2010,78.501,2.17E+11
Chile,2011,79.11,2.51E+11
Chile,2012,79.023,2.67E+11
Chile,2013,79.339,2.77E+11
Chile,2014,79.473,2.59E+11
Chile,2015,79.746,2.42E+11
Chile,2016,80.079,2.49E+11
Chile,2017,80.35,2.76E+11
Chile,2018,80.133,2.95E+11
Chile,2019,80.326,2.78E+11
Chile,2020,79.377,2.54E+11
Chile,2021,78.944,3.17E+11
China,2000,71.881,1.21E+12
China,2001,72.606,1.34E+12
China,2002,72.985,1.47E+12
China,2003,73.371,1.66E+12
China,2004,73.748,1.96E+12
China,2005,74.111,2.29E+12
China,2006,74.504,2.75E+12
China,2007,74.762,3.55E+12
China,2008,74.872,4.59E+12
China,2009,75.343,5.10E+12
China,2010,75.599,6.09E+12
China,2011,75.903,7.55E+12
China,2012,76.192,8.53E+12
China,2013,76.452,9.57E+12
China,2014,76.717,1.05E+13
China,2015,76.977,1.11E+13
China,2016,77.218,1.12E+13
China,2017,77.248,1.23E+13
China,2018,77.744,1.39E+13
China,2019,77.968,1.43E+13
China,2020,78.077,1.47E+13
China,2021,78.211,1.78E+13
Germany,2000,77.92682927,1.95E+12
Germany,2001,78.32926829,1.95E+12
Germany,2002,78.22926829,2.08E+12
Germany,2003,78.3804878,2.50E+12
Germany,2004,78.6804878,2.81E+12
Germany,2005,78.93170732,2.85E+12
Germany,2006,79.13170732,2.99E+12
Germany,2007,79.53414634,3.43E+12
Germany,2008,79.73658537,3.75E+12
Germany,2009,79.83658537,3.41E+12
Germany,2010,79.98780488,3.40E+12
Germany,2011,80.43658537,3.75E+12
Germany,2012,80.53902439,3.53E+12
Germany,2013,80.4902439,3.73E+12
Germany,2014,81.0902439,3.89E+12
Germany,2015,80.64146341,3.36E+12
Germany,2016,80.9902439,3.47E+12
Germany,2017,80.99268293,3.69E+12
Germany,2018,80.89268293,3.97E+12
Germany,2019,81.29268293,3.89E+12
Germany,2020,81.04146341,3.89E+12
Germany,2021,80.90097561,4.26E+12
Mexico,2000,73.569,7.08E+11
Mexico,2001,73.867,7.57E+11
Mexico,2002,74.106,7.72E+11
Mexico,2003,74.274,7.29E+11
Mexico,2004,74.372,7.82E+11
Mexico,2005,74.376,8.77E+11
Mexico,2006,74.331,9.75E+11
Mexico,2007,74.238,1.05E+12
Mexico,2008,74.152,1.11E+12
Mexico,2009,74.119,9.00E+11
Mexico,2010,74.19,1.06E+12
Mexico,2011,74.365,1.18E+12
Mexico,2012,74.574,1.20E+12
Mexico,2013,74.739,1.27E+12
Mexico,2014,74.797,1.32E+12
Mexico,2015,74.682,1.17E+12
Mexico,2016,74.412,1.08E+12
Mexico,2017,74.138,1.16E+12
Mexico,2018,74.015,1.22E+12
Mexico,2019,74.202,1.27E+12
Mexico,2020,70.133,1.09E+12
Mexico,2021,70.213,1.27E+12
United States of America,2000,76.63658537,1.03E+13
United States of America,2001,76.83658537,1.06E+13
United States of America,2002,76.93658537,1.09E+13
United States of America,2003,77.03658537,1.15E+13
United States of America,2004,77.48780488,1.22E+13
United States of America,2005,77.48780488,1.30E+13
United States of America,2006,77.68780488,1.38E+13
United States of America,2007,77.98780488,1.45E+13
United States of America,2008,78.03902439,1.48E+13
United States of America,2009,78.3902439,1.45E+13
United States of America,2010,78.54146341,1.50E+13
United States of America,2011,78.64146341,1.56E+13
United States of America,2012,78.74146341,1.63E+13
United States of America,2013,78.74146341,1.68E+13
United States of America,2014,78.84146341,1.76E+13
United States of America,2015,78.6902439,1.82E+13
United States of America,2016,78.53902439,1.87E+13
United States of America,2017,78.53902439,1.95E+13
United States of America,2018,78.63902439,2.05E+13
United States of America,2019,78.78780488,2.14E+13
United States of America,2020,76.9804878,2.11E+13
United States of America,2021,76.32926829,2.33E+13
Zimbabwe,2000,44.686,6689957600
Zimbabwe,2001,41.957,6777384700
Zimbabwe,2002,44.565,6342116400
Zimbabwe,2003,43.393,5727591800
Zimbabwe,2004,44.502,5805598400
Zimbabwe,2005,44.768,5755215200
Zimbabwe,2006,45.364,5443896500
Zimbabwe,2007,45.61,5291950100
Zimbabwe,2008,46.723,4415702800
Zimbabwe,2009,48.063,9665793300
Zimbabwe,2010,50.652,12041655200
Zimbabwe,2011,53.347,14101920300
Zimbabwe,2012,55.626,17114849900
Zimbabwe,2013,57.458,19091020000
Zimbabwe,2014,58.846,19495519600
Zimbabwe,2015,59.591,19963120600
Zimbabwe,2016,60.306,20548678100
Zimbabwe,2017,60.709,17584890937
Zimbabwe,2018,61.414,34156069918
Zimbabwe,2019,61.292,21832234926
Zimbabwe,2020,61.124,21509698406
Zimbabwe,2021,59.253,28371238666
